date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-Jan-41,0,2.2, , , , , , 
02-Jan-41,0,0.3, , , , , , 
03-Jan-41,0,0, , , , , , 
04-Jan-41,0,0, , , , , , 
05-Jan-41,0,0, , , , , , 
06-Jan-41,0,0, , , , , , 
07-Jan-41,0,0, , , , , , 
08-Jan-41,0,0, , , , , , 
09-Jan-41,0,0, , , , , , 
10-Jan-41,0,0, , , , , , 
11-Jan-41,0,0, , , , , , 
12-Jan-41,4,0, , , , , , 
13-Jan-41,0,0, , , , , , 
14-Jan-41,0,3.6, , , , , , 
15-Jan-41,0,14.5, , , , , , 
16-Jan-41,0,0, , , , , , 
17-Jan-41,0,5.2, , , , , , 
18-Jan-41,0,8.2, , , , , , 
19-Jan-41,0,9, , , , , , 
20-Jan-41,0,12.6, , , , , , 
21-Jan-41,0,8.7, , , , , , 
22-Jan-41,0,0, , , , , , 
23-Jan-41,0,1.1, , , , , , 
24-Jan-41,0,9.3, , , , , , 
25-Jan-41,0,4.2, , , , , , 
26-Jan-41,0,2.2, , , , , , 
27-Jan-41,0,11, , , , , , 
28-Jan-41,0,6.5, , , , , , 
29-Jan-41,0,1, , , , , , 
30-Jan-41,0,9.2, , , , , , 
31-Jan-41,0,0, , , , , , 
01-Feb-41,0,0, , , , , , 
02-Feb-41,0,0.3, , , , , , 
03-Feb-41,0,0, , , , , , 
04-Feb-41,0,2.1, , , , , , 
05-Feb-41,0,7, , , , , , 
06-Feb-41,0,4.2, , , , , , 
07-Feb-41,0,1.6, , , , , , 
08-Feb-41,0,1.5, , , , , , 
09-Feb-41,0,0.9, , , , , , 
10-Feb-41,0,0, , , , , , 
11-Feb-41,0,1.9, , , , , , 
12-Feb-41,0,3.9, , , , , , 
13-Feb-41,0,6.4, , , , , , 
14-Feb-41,0,1.4, , , , , , 
15-Feb-41,0,0, , , , , , 
16-Feb-41,0,7.8, , , , , , 
17-Feb-41,0,10.1, , , , , , 
18-Feb-41,0,3.5, , , , , , 
19-Feb-41,0,0, , , , , , 
20-Feb-41,0,0, , , , , , 
21-Feb-41,0,0, , , , , , 
22-Feb-41,0,4.1, , , , , , 
23-Feb-41,0,0, , , , , , 
24-Feb-41,0,0.7, , , , , , 
25-Feb-41,0,0, , , , , , 
26-Feb-41,0,3, , , , , , 
27-Feb-41,0,1.6, , , , , , 
28-Feb-41,0,3.5, , , , , , 
01-Mar-41,0,8.6, , , , , , 
02-Mar-41,4,0, , , , , , 
03-Mar-41,0,2.8, , , , , , 
04-Mar-41,0,0.3, , , , , , 
05-Mar-41,0,0.6, , , , , , 
06-Mar-41,0,0.4, , , , , , 
07-Mar-41,0,1.1, , , , , , 
08-Mar-41,0,17.2, , , , , , 
09-Mar-41,0,1.5, , , , , , 
10-Mar-41,0,0.7, , , , , , 
11-Mar-41,0,0, , , , , , 
12-Mar-41,0,0, , , , , , 
13-Mar-41,0,0, , , , , , 
14-Mar-41,0,1.2, , , , , , 
15-Mar-41,4,0, , , , , , 
16-Mar-41,4,0, , , , , , 
17-Mar-41,0,1.5, , , , , , 
18-Mar-41,0,3.5, , , , , , 
19-Mar-41,4,0, , , , , , 
20-Mar-41,0,0, , , , , , 
21-Mar-41,0,2.6, , , , , , 
22-Mar-41,0,1.8, , , , , , 
23-Mar-41,0,0.7, , , , , , 
24-Mar-41,0,0, , , , , , 
25-Mar-41,0,6, , , , , , 
26-Mar-41,0,0.9, , , , , , 
27-Mar-41,0,2.9, , , , , , 
28-Mar-41,4,0, , , , , , 
29-Mar-41,0,0, , , , , , 
30-Mar-41,0,0, , , , , , 
31-Mar-41,0,39.3, , , , , , 
01-Apr-41,0,7.5, , , , , , 
02-Apr-41,0,10.2, , , , , , 
03-Apr-41,4,0, , , , , , 
04-Apr-41,0,0, , , , , , 
05-Apr-41,4,0, , , , , , 
06-Apr-41,0,0, , , , , , 
07-Apr-41,0,0, , , , , , 
08-Apr-41,0,4.7, , , , , , 
09-Apr-41,0,3.2, , , , , , 
10-Apr-41,4,0, , , , , , 
11-Apr-41,0,0, , , , , , 
12-Apr-41,4,0, , , , , , 
13-Apr-41,0,3.3, , , , , , 
14-Apr-41,0,3.2, , , , , , 
15-Apr-41,0,0, , , , , , 
16-Apr-41,0,4.6, , , , , , 
17-Apr-41,0,15.2, , , , , , 
18-Apr-41,0,9.3, , , , , , 
19-Apr-41,0,1.3, , , , , , 
20-Apr-41,0,0, , , , , , 
21-Apr-41,0,0, , , , , , 
22-Apr-41,0,0, , , , , , 
23-Apr-41,0,0, , , , , , 
24-Apr-41,0,0, , , , , , 
25-Apr-41,0,0, , , , , , 
26-Apr-41,0,0.1, , , , , , 
27-Apr-41,0,0, , , , , , 
28-Apr-41,0,0, , , , , , 
29-Apr-41,0,0, , , , , , 
30-Apr-41,0,0, , , , , , 
01-May-41,0,0, , , , , , 
02-May-41,0,0, , , , , , 
03-May-41,0,0, , , , , , 
